,n_locks,simulation,model,model_params,participant,trial,symbol,action,time,DISCOUNT,HORIZON,BETA
0,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,0,4,0,5.9399999999999995,0.99,500.27,3.53
1,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,1,3,0,5.54,0.99,500.27,3.53
2,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,2,0,2,9.85,0.99,500.27,3.53
3,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,3,1,2,9.73,0.99,500.27,3.53
4,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,4,0,2,10.26,0.99,500.27,3.53
5,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,5,0,2,9.21,0.99,500.27,3.53
6,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,6,0,2,10.61,0.99,500.27,3.53
7,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,7,3,2,10.44,0.99,500.27,3.53
8,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,8,0,1,2.0,0.99,500.27,3.53
9,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,9,4,0,5.97,0.99,500.27,3.53
10,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,10,0,1,2.42,0.99,500.27,3.53
11,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,11,0,1,1.97,0.99,500.27,3.53
12,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,12,2,2,9.57,0.99,500.27,3.53
13,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,13,0,1,2.2,0.99,500.27,3.53
14,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,14,4,0,7.12,0.99,500.27,3.53
15,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,15,2,2,10.83,0.99,500.27,3.53
16,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,16,0,1,2.2199999999999998,0.99,500.27,3.53
17,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,17,0,1,1.41,0.99,500.27,3.53
18,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,18,3,0,5.49,0.99,500.27,3.53
19,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,19,2,2,10.53,0.99,500.27,3.53
20,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,20,1,2,9.4,0.99,500.27,3.53
21,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,21,2,2,10.47,0.99,500.27,3.53
22,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,22,1,2,10.57,0.99,500.27,3.53
23,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,23,1,2,9.29,0.99,500.27,3.53
24,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,24,1,1,1.9300000000000002,0.99,500.27,3.53
25,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,25,1,1,1.71,0.99,500.27,3.53
26,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,26,0,1,1.75,0.99,500.27,3.53
27,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,27,0,1,2.29,0.99,500.27,3.53
28,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,28,0,1,2.2,0.99,500.27,3.53
29,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,29,0,1,1.8900000000000001,0.99,500.27,3.53
30,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,30,4,0,5.73,0.99,500.27,3.53
31,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,31,0,1,1.8599999999999999,0.99,500.27,3.53
32,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,32,2,1,1.71,0.99,500.27,3.53
33,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,33,2,1,1.6,0.99,500.27,3.53
34,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,34,0,1,2.51,0.99,500.27,3.53
35,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,35,3,0,6.68,0.99,500.27,3.53
36,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,36,1,1,1.87,0.99,500.27,3.53
37,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,37,2,1,1.81,0.99,500.27,3.53
38,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,38,2,1,1.8199999999999998,0.99,500.27,3.53
39,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,39,1,1,2.1399999999999997,0.99,500.27,3.53
40,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,40,0,1,2.37,0.99,500.27,3.53
41,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,41,1,1,1.9300000000000002,0.99,500.27,3.53
42,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,42,0,1,1.4,0.99,500.27,3.53
43,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,43,1,1,2.09,0.99,500.27,3.53
44,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,44,0,1,2.6100000000000003,0.99,500.27,3.53
45,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,45,4,0,6.04,0.99,500.27,3.53
46,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,46,0,1,1.88,0.99,500.27,3.53
47,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,47,3,0,5.6899999999999995,0.99,500.27,3.53
48,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,48,3,0,5.65,0.99,500.27,3.53
49,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,49,0,1,1.31,0.99,500.27,3.53
50,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,50,1,1,1.94,0.99,500.27,3.53
51,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,51,4,0,5.5600000000000005,0.99,500.27,3.53
52,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,52,3,0,5.61,0.99,500.27,3.53
53,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,53,3,0,7.09,0.99,500.27,3.53
54,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,54,2,1,1.15,0.99,500.27,3.53
55,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,55,3,0,5.38,0.99,500.27,3.53
56,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,56,0,1,1.83,0.99,500.27,3.53
57,4,1,Discount,"{'DISCOUNT': 0.99, 'HORIZON': 500.27, 'BETA': 3.53}",0,57,2,1,2.5,0.99,500.27,3.53
