,model,DISCOUNT,HORIZON,BETA,ll
0,normative,0.0,0.0,0.0,-2239.77
1,normative,0.0,0.0,0.09090909090909091,-2239.77
2,normative,0.0,0.0,0.18181818181818182,-2239.77
3,normative,0.0,0.0,0.2727272727272727,-2239.77
4,normative,0.0,0.0,0.36363636363636365,-2239.77
5,normative,0.0,0.0,0.45454545454545453,-2239.77
6,normative,0.0,0.0,0.5454545454545454,-2239.77
7,normative,0.0,0.0,0.6363636363636364,-2239.77
8,normative,0.0,0.0,0.7272727272727273,-2239.77
9,normative,0.0,0.0,0.8181818181818182,-2239.77
10,normative,0.0,0.0,0.9090909090909091,-2239.77
11,normative,0.0,0.0,1.0,-2239.77
12,normative,0.0,9.545454545454545,0.0,-2239.77
13,normative,0.0,9.545454545454545,0.09090909090909091,-2211.04
14,normative,0.0,9.545454545454545,0.18181818181818182,-2205.42
15,normative,0.0,9.545454545454545,0.2727272727272727,-2220.03
16,normative,0.0,9.545454545454545,0.36363636363636365,-2251.27
17,normative,0.0,9.545454545454545,0.45454545454545453,-2295.73
18,normative,0.0,9.545454545454545,0.5454545454545454,-2350.64
19,normative,0.0,9.545454545454545,0.6363636363636364,-2413.87
20,normative,0.0,9.545454545454545,0.7272727272727273,-2483.85
21,normative,0.0,9.545454545454545,0.8181818181818182,-2537.31
22,normative,0.0,9.545454545454545,0.9090909090909091,-2579.07
23,normative,0.0,9.545454545454545,1.0,-2623.36
24,normative,0.0,19.09090909090909,0.0,-2239.77
25,normative,0.0,19.09090909090909,0.09090909090909091,-2200.23
26,normative,0.0,19.09090909090909,0.18181818181818182,-2190.79
27,normative,0.0,19.09090909090909,0.2727272727272727,-2207.48
28,normative,0.0,19.09090909090909,0.36363636363636365,-2245.37
29,normative,0.0,19.09090909090909,0.45454545454545453,-2299.87
30,normative,0.0,19.09090909090909,0.5454545454545454,-2367.27
31,normative,0.0,19.09090909090909,0.6363636363636364,-2444.78
32,normative,0.0,19.09090909090909,0.7272727272727273,-2530.37
33,normative,0.0,19.09090909090909,0.8181818181818182,-2590.2
34,normative,0.0,19.09090909090909,0.9090909090909091,-2631.52
35,normative,0.0,19.09090909090909,1.0,-2676.19
36,normative,0.0,28.636363636363637,0.0,-2239.77
37,normative,0.0,28.636363636363637,0.09090909090909091,-2197.44
