,n_locks,simulation,model,model_params,participant,trial,symbol,action,time,DISCOUNT,HORIZON,BETA
0,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,0,4,0,5.93,0.85,500.29,4.59
1,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,1,1,0,6.41,0.85,500.29,4.59
2,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,2,2,0,5.27,0.85,500.29,4.59
3,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,3,0,0,7.279999999999999,0.85,500.29,4.59
4,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,4,1,0,5.21,0.85,500.29,4.59
5,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,5,3,0,6.33,0.85,500.29,4.59
6,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,6,3,0,5.26,0.85,500.29,4.59
7,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,7,0,0,6.14,0.85,500.29,4.59
8,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,8,0,0,6.2,0.85,500.29,4.59
9,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,9,2,0,6.12,0.85,500.29,4.59
10,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,10,2,0,5.48,0.85,500.29,4.59
11,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,11,0,0,5.96,0.85,500.29,4.59
12,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,12,3,2,9.56,0.85,500.29,4.59
13,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,13,0,0,5.77,0.85,500.29,4.59
14,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,14,1,0,6.11,0.85,500.29,4.59
15,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,15,0,0,6.14,0.85,500.29,4.59
16,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,16,0,0,6.5,0.85,500.29,4.59
17,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,17,0,0,5.92,0.85,500.29,4.59
18,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,18,1,0,5.84,0.85,500.29,4.59
19,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,19,4,0,6.47,0.85,500.29,4.59
20,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,20,2,0,6.3,0.85,500.29,4.59
21,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,21,1,0,5.88,0.85,500.29,4.59
22,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,22,4,0,5.65,0.85,500.29,4.59
23,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,23,0,2,10.64,0.85,500.29,4.59
24,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,24,0,0,6.0600000000000005,0.85,500.29,4.59
25,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,25,0,0,6.24,0.85,500.29,4.59
26,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,26,2,0,5.2,0.85,500.29,4.59
27,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,27,3,0,6.02,0.85,500.29,4.59
28,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,28,1,0,5.62,0.85,500.29,4.59
29,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,29,2,0,6.34,0.85,500.29,4.59
30,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,30,3,0,5.87,0.85,500.29,4.59
31,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,31,0,2,9.55,0.85,500.29,4.59
32,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,32,4,0,5.9399999999999995,0.85,500.29,4.59
33,4,1,Discount,"{'DISCOUNT': 0.85, 'HORIZON': 500.29, 'BETA': 4.59}",0,33,4,0,6.21,0.85,500.29,4.59
