filename,latitude,longitude,biogeographicalRegion,region,elevation
0-3815472308.JPG,55.753478,12.529359,continental,Hovedstaden,197
0-3909138603.JPG,56.209763,10.686078,continental,Midtjylland,0
0-3916269701.JPG,56.160425,10.195531,continental,Midtjylland,33
1-3916269701.JPG,56.160425,10.195531,continental,Midtjylland,33
2-3916269701.JPG,56.160425,10.195531,continental,Midtjylland,33
0-3944342725.JPG,55.15336,8.55457,atlantic,Syddanmark,45
0-3916267571.JPG,55.438964,8.393511,atlantic,Syddanmark,0
1-3916267571.JPG,55.438964,8.393511,atlantic,Syddanmark,0
2-3916267571.JPG,55.438964,8.393511,atlantic,Syddanmark,0
0-3922624806.JPG,55.942874,12.266035,continental,Hovedstaden,133
1-3922624806.JPG,55.942874,12.266035,continental,Hovedstaden,133
2-3922624806.JPG,55.942874,12.266035,continental,Hovedstaden,133
0-3968580524.JPG,54.739222,11.539503,continental,Sjælland,226
1-3968580524.JPG,54.739222,11.539503,continental,Sjælland,226
0-3909138433.JPG,55.473847,12.161611,continental,Sjælland,15
1-3909138433.JPG,55.473847,12.161611,continental,Sjælland,15
2-3909138433.JPG,55.473847,12.161611,continental,Sjælland,15
0-3909143421.JPG,56.389218,10.168138,continental,Midtjylland,10
1-3909143421.JPG,56.389218,10.168138,continental,Midtjylland,10
0-3913254509.JPG,55.039379,10.533967,continental,Syddanmark,0
1-3913254509.JPG,55.039379,10.533967,continental,Syddanmark,0
3-3913254509.JPG,55.039379,10.533967,continental,Syddanmark,0
0-4100091463.JPG,55.623961,11.665809,continental,Sjælland,0
1-4100091463.JPG,55.623961,11.665809,continental,Sjælland,0
2-4100091463.JPG,55.623961,11.665809,continental,Sjælland,0
3-4100091463.JPG,55.623961,11.665809,continental,Sjælland,0
0-3944343578.JPG,56.488963,9.81895,continental,Midtjylland,18
1-3944343578.JPG,56.488963,9.81895,continental,Midtjylland,18
3-3944343578.JPG,56.488963,9.81895,continental,Midtjylland,18
4-3944343578.JPG,56.488963,9.81895,continental,Midtjylland,18
0-3944341894.JPG,54.562097,11.964245,continental,Sjælland,304
0-3964842584.JPG,56.281438,9.704125,continental,Midtjylland,7
0-3795095304.JPG,55.692336,12.102005,continental,Sjælland,123
1-3795095304.JPG,55.692336,12.102005,continental,Sjælland,123
2-3795095304.JPG,55.692336,12.102005,continental,Sjælland,123
3-3795095304.JPG,55.692336,12.102005,continental,Sjælland,123
0-3863490320.JPG,56.485081,8.52582,atlantic,Midtjylland,10
1-3863490320.JPG,56.485081,8.52582,atlantic,Midtjylland,10
2-3863490320.JPG,56.485081,8.52582,atlantic,Midtjylland,10
0-3899714357.JPG,57.025624,9.941131,continental,Nordjylland,15
1-3899714357.JPG,57.025624,9.941131,continental,Nordjylland,15
0-3913250719.JPG,55.214406,11.579575,continental,Sjælland,44
1-3913250719.JPG,55.214406,11.579575,continental,Sjælland,44
2-3913250719.JPG,55.214406,11.579575,continental,Sjælland,44
3-3913250719.JPG,55.214406,11.579575,continental,Sjælland,44
0-3913251736.JPG,55.760274,12.50706,continental,Hovedstaden,127
0-3922621824.JPG,55.661821,13.543432,continental,Skåne,281
1-3944340347.JPG,55.948344,12.300585,continental,Hovedstaden,138
3-3944340347.JPG,55.948344,12.300585,continental,Hovedstaden,138
1-3964844581.JPG,55.719566,9.468272,continental,Syddanmark,0
2-3964844581.JPG,55.719566,9.468272,continental,Syddanmark,0
0-3803331319.JPG,55.110347,10.889829,continental,Syddanmark,0
0-3819302309.JPG,54.809775,12.06155,continental,Sjælland,377
1-3819302309.JPG,54.809775,12.06155,continental,Sjælland,377
2-3819302309.JPG,54.809775,12.06155,continental,Sjælland,377
0-3913248406.JPG,55.746091,12.532695,continental,Hovedstaden,156
1-3913248406.JPG,55.746091,12.532695,continental,Hovedstaden,156
0-4100089473.JPG,55.425909,10.43734,continental,Syddanmark,0
0-3944342418.JPG,56.526651,8.742829,atlantic,Midtjylland,34
0-3968580387.JPG,55.22568,11.815783,continental,Sjælland,0
1-3968580387.JPG,55.22568,11.815783,continental,Sjælland,0
2-3968580387.JPG,55.22568,11.815783,continental,Sjælland,0
3-3968580387.JPG,55.22568,11.815783,continental,Sjælland,0
4-3968580387.JPG,55.22568,11.815783,continental,Sjælland,0
0-3806901316.JPG,55.674614,12.61385,continental,Hovedstaden,185
0-3909139350.JPG,57.239405,11.00493,continental,Nordjylland,0
0-3909141539.JPG,55.738697,12.433551,continental,Hovedstaden,147
0-3916265340.JPG,55.73695,12.467279,continental,Hovedstaden,152
0-3964846477.JPG,55.77607,12.562138,continental,Hovedstaden,174
1-3964846477.JPG,55.77607,12.562138,continental,Hovedstaden,174
0-3909141361.JPG,56.260772,10.343845,continental,Midtjylland,17
1-3909141361.JPG,56.260772,10.343845,continental,Midtjylland,17
2-3909141361.JPG,56.260772,10.343845,continental,Midtjylland,17
3-3909141361.JPG,56.260772,10.343845,continental,Midtjylland,17
0-3913251486.JPG,55.753517,12.529092,continental,Hovedstaden,209
1-3913251486.JPG,55.753517,12.529092,continental,Hovedstaden,209
2-3913251486.JPG,55.753517,12.529092,continental,Hovedstaden,209
3-3913251486.JPG,55.753517,12.529092,continental,Hovedstaden,209
0-3916264400.JPG,55.682674,8.312546,atlantic,Syddanmark,0
1-3916264400.JPG,55.682674,8.312546,atlantic,Syddanmark,0
2-3916264400.JPG,55.682674,8.312546,atlantic,Syddanmark,0
0-3944337747.JPG,55.612693,10.596666,continental,Syddanmark,0
0-3964846601.JPG,55.040544,10.565022,continental,Syddanmark,0
1-3964846601.JPG,55.040544,10.565022,continental,Syddanmark,0
2-3964846601.JPG,55.040544,10.565022,continental,Syddanmark,0
3-3964846601.JPG,55.040544,10.565022,continental,Syddanmark,0
0-3909139621.JPG,56.281405,10.767041,continental,Midtjylland,0
